id,STNAME,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2010_MALE,POPESTIMATE2011_MALE,POPESTIMATE2012_MALE,POPESTIMATE2013_MALE,POPESTIMATE2014_MALE,POPESTIMATE2015_MALE,POPESTIMATE2016_MALE,POPESTIMATE2017_MALE,POPESTIMATE2018_MALE,POPESTIMATE2000_MALE,POPESTIMATE2001_MALE,POPESTIMATE2002_MALE,POPESTIMATE2003_MALE,POPESTIMATE2004_MALE,POPESTIMATE2005_MALE,POPESTIMATE2006_MALE,POPESTIMATE2007_MALE,POPESTIMATE2008_MALE,POPESTIMATE2009_MALE,POPESTIMATE2010_F,POPESTIMATE2011_F,POPESTIMATE2012_F,POPESTIMATE2013_F,POPESTIMATE2014_F,POPESTIMATE2015_F,POPESTIMATE2016_F,POPESTIMATE2017_F,POPESTIMATE2018_F,POPESTIMATE2000_F,POPESTIMATE2001_F,POPESTIMATE2002_F,POPESTIMATE2003_F,POPESTIMATE2004_F,POPESTIMATE2005_F,POPESTIMATE2006_F,POPESTIMATE2007_F,POPESTIMATE2008_F,POPESTIMATE2009_F
26,Michigan,4933692,4982796,5018935,5053572,5087713,5119598,5163555,5207203,5247018,5281203,9877535,9881521,9896930,9913349,9930589,9932573,9951890,9976447,9995915,4840421,4842718,4853872,4865380,4876838,4881210,4893794,4908052,4918956,4880268,4901831,4915539,4930631,4937386,4936817,4929460,4910249,4880990,4857253,5031600,5032908,5037389,5043610,5049542,5047176,5054108,5064626,5073251,5072182,5089289,5100171,5110521,5117929,5114320,5106621,5091035,5065899,5044338
27,Minnesota,2848353,2852994,2858681,2868312,2889010,2905943,2904978,2928350,2947806,2958774,5310843,5345668,5376550,5413693,5451522,5482503,5523409,5568155,5611179,2632003,2649579,2668466,2687768,2707591,2725516,2747214,2770856,2793022,2443070,2468647,2487730,2506573,2523676,2540052,2562604,2584652,2604346,2621245,2674701,2691105,2705307,2723366,2741103,2754795,2773905,2795290,2816019,2490622,2514149,2531205,2546999,2564037,2579546,2600951,2622551,2642672,2659958
28,Mississippi,2848353,2852994,2858681,2868312,2889010,2905943,2904978,2928350,2947806,2958774,2970536,2978470,2983767,2988797,2990623,2988693,2988298,2989663,2986530,1429989,1433178,1435223,1438952,1439620,1437406,1437973,1439055,1436405,1375800,1379508,1383269,1388701,1398895,1407981,1408665,1421279,1430851,1436774,1524849,1528647,1531344,1533670,1535838,1536473,1536701,1537337,1536615,1472553,1473486,1475412,1479611,1490115,1497962,1496313,1507071,1516955,1522000
29,Missouri,5607285,5641142,5674825,5709403,5747741,5790300,5842704,5887612,5923916,5961088,5995976,6009641,6024081,6040658,6056293,6071745,6087203,6108612,6126452,2920179,2928503,2936992,2945839,2955992,2966458,2974634,2984730,2991915,2727498,2745666,2764349,2782847,2805056,2827430,2855141,2880119,2899079,2919067,3055523,3061624,3068563,3074841,3082483,3089755,3096684,3107074,3115730,2879787,2895476,2910476,2926556,2942685,2962870,2987563,3007493,3024837,3042021
30,Montana,903773,906961,911667,919630,930009,940102,952692,964706,976415,983982,990722,997221,1003754,1013564,1021891,1030503,1040863,1053090,1062305,494125,496626,500540,506053,510656,515568,520937,527186,531906,450348,452278,454955,459514,465009,470322,477351,483767,489938,493860,492882,496283,499174,503602,507405,511222,516241,522300,526838,453425,454683,456712,460116,465000,469780,475341,480939,486477,490122
31,Nebraska,1713820,1719836,1728292,1738643,1749370,1761497,1772693,1783440,1796378,1812683,1829536,1840538,1853323,1865414,1879522,1891507,1905924,1917575,1929268,902357,907577,915542,922607,930392,937353,945252,951809,957997,844840,848628,853489,859281,865386,872029,878006,883334,890564,899064,920235,925442,931271,936233,942404,947610,953997,959096,964662,868980,871208,874803,879362,883984,889468,894687,900106,905814,913619
32,Nevada,2018741,2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2702464,2712799,2744566,2776972,2819012,2868666,2919772,2972405,3034392,1355063,1357993,1373215,1388083,1407967,1432130,1456726,1482346,1512747,1028426,1067549,1104027,1140715,1189636,1233297,1278665,1317020,1343029,1357047,1336425,1342973,1359484,1376899,1399130,1425463,1451758,1479081,1510817,990315,1030850,1069764,1108135,1156586,1198846,1243993,1284052,1310601,1327618
33,New Hampshire,1239882,1255517,1269089,1279840,1290121,1298492,1308389,1312540,1315906,1316102,1316777,1319815,1323962,1326408,1333223,1336294,1342373,1349767,1356458,648068,649208,652148,653730,657946,659983,663338,667185,671119,609771,618105,625409,631327,636276,640560,645616,647553,649330,649227,667059,668378,670352,671179,673888,674695,677591,681240,684032,630111,637412,643680,648513,653845,657932,662773,664987,666576,666875
34,New Jersey,8430621,8492671,8552643,8601402,8634561,8651974,8661679,8677885,8711090,8755602,8799624,8827783,8845483,8858362,8866780,8870869,8874516,8888543,8908520,4276388,4292697,4303069,4311864,4317001,4320425,4324412,4332370,4344331,4090509,4122739,4153842,4179438,4197597,4208429,4213580,4222737,4241189,4262096,4514316,4525738,4532861,4537062,4539923,4541390,4540914,4546776,4554821,4340112,4369932,4398801,4421964,4436964,4443545,4448099,4455148,4469901,4493506
35,New Mexico,1821204,1831690,1855309,1877574,1903808,1932274,1962137,1990070,2010662,2036802,2064588,2080395,2087549,2092792,2090342,2090211,2092789,2093395,2095428,1010774,1017402,1021712,1024974,1024461,1025232,1026393,1026492,1027486,895580,901303,913453,925271,939070,953754,968168,982148,992084,1005564,1042378,1050163,1052677,1054693,1053174,1053499,1054607,1055242,1056288,925624,930387,941856,952303,964738,978520,993969,1007922,1018578,1031238
36,New York,19001780,19082838,19137800,19175939,19171567,19132610,19104631,19132335,19212436,19307066,19400080,19498514,19574549,19628043,19656330,19661411,19641589,19590719,19542209,9367172,9421666,9458876,9494855,9509471,9515972,9511792,9488484,9466709,9159719,9204125,9234873,9258129,9258040,9245143,9233230,9250825,9293595,9340446,10007673,10053046,10084982,10108505,10120712,10119965,10104866,10076281,10050555,9842061,9878713,9902927,9917810,9913527,9887467,9871401,9881510,9918841,9966620
37,North Carolina,8081614,8210122,8326201,8422501,8553152,8705407,8917270,9118037,9309449,9449566,9574293,9656754,9749123,9843599,9933944,10033079,10156679,10270800,10383620,4573693,4618122,4656740,4698590,4741585,4792940,4848362,4909844,4964945,3962580,4022805,4076022,4108600,4177082,4248218,4354118,4440724,4538073,4603065,4892762,4939839,4988016,5037845,5086049,5136295,5200204,5260971,5321192,4119034,4187317,4250179,4313901,4376070,4457189,4563152,4677313,4771376,4846501
38,North Dakota,642023,639062,638168,638817,644705,646089,649422,652822,657569,664968,674710,685136,701116,721999,737382,754022,754353,755176,760077,334877,341246,349944,362029,371842,381094,381021,381028,383360,320468,319275,319151,319921,323697,324546,326839,328756,331438,335294,332376,336862,343507,352251,358491,365665,366086,366937,369542,321555,319787,319017,318896,321008,321543,322583,324066,326131,329674
39,Ohio,11363543,11387404,11407889,11434788,11452251,11463320,11481213,11500468,11515391,11528896,11539327,11543463,11548369,11576576,11602973,11617850,11635003,11664129,11689442,5625066,5630323,5636086,5655187,5671223,5681860,5693109,5708724,5723846,5518118,5533713,5548504,5566253,5577840,5586617,5598146,5609503,5618797,5626878,5903267,5902762,5900613,5910827,5921925,5927060,5932874,5945771,5956834,5845425,5853691,5859385,5868535,5874411,5876703,5883067,5890965,5896594,5902018
